CODE,ZONE,STATE,TOWN,PROVIDER,ADDRESS,CAT,PLAN,SPECIALTY
7000606,SOUTH WEST,LAGOS,IJU,"OSUNTUYI MEDICAL CENTRE, IJU","255, IJU RD., BALOGUN BUS STOP, IJU ISHAGA, AGEGE",D,ALL PLANS ,GENERAL MEDICINE
6500090,SOUTH WEST,LAGOS,OBANIKORO,"OSUNTUYI MEDICAL CENTRE, OBANIKORO","9, ALH. SALISU STREET, OBANIKORO",D,ALL PLANS ,GENERAL MEDICINE
90128629,SOUTH WEST,LAGOS,IFAKO IJAIYE,OUR FRIEND HOSPITAL LTD,"10, ADEPITAN STREET, OFF HARUNA BUS STOP COLLEGE ROAD IFAKO IJAIYE",D,ALL PLANS ,GENERAL MEDICINE
90128904,SOUTH WEST,LAGOS,ISOLO,OUR LADY SPECIALIST HOSPITAL,"DOUBLE STAR BUS STOP LCHE, JAKANDE ESTATE OKE AFA ISOLO",D,ALL PLANS ,GENERAL MEDICINE
7000796,SOUTH WEST,LAGOS,FESTAC TOWN,OUTREACH CHILDREN HOSPITAL,4TH AVENUE FESTAC TOWN LAGOS,C,PRO & HIGHER,PAEDIATRICS
7000883,SOUTH WEST,LAGOS,IFAKO IJAIYE,OUTREACH WOMEN AND CHILDREN AGEGE,"150 IJU RD, IFAKO-IJAIYE, LAGOS",C,PRO & HIGHER,PAEDIATRICS
7000869,SOUTH WEST,LAGOS,LEKKI,OUTREACH WOMENS AND CHILDREN HOSPITAL,"6 MURITALA ELETU STREET, OSAPA LONDON, LEKKI",B,MAX & HIGHER,PAEDIATRICS
7000135,SOUTH WEST,LAGOS,AGBADO,OVERCOMERS SPECIALIST HOSPITAL,"36 NEW ROAD,ATILA BUSTOP,AGBADO CROSSING,AGBADO",D,ALL PLANS ,GENERAL MEDICINE
90128019,SOUTH WEST,LAGOS,IPAJA,OWOLOLA BETHEL HOSPITAL,2 SEMIU TIAMIYU STREET HILL TOP ESTATE PIPELINE ABORU IYANA-PAJA,D,ALL PLANS ,GENERAL MEDICINE
7000816,SOUTH WEST,LAGOS,SURULERE,OXFORD HEALTHPLUS HOSPITALS,"164 OGUNLANA DR, SURULERE, LAGOS",B,MAX & HIGHER,GENERAL MEDICINE
