Benefit sub-Categories,PLUS,PRO,MAX,PROMAX,MAGNUM
"Maternity if not registered with the Leadway Health Cover Maternity Programme paid up to Leadway Tariffs to the maximum indicated and from overall limits. (Includes antenatal care natural birth and non-elective C-section delivery, pre- and post-natal care, complications, neo-natal care. Refunded to member only). Subject to pre-authorisation","Normal delivery (including pre- and post- natal care and childbirth) 75,000 Childbirth by C-section (where medically necessary and subject to pre-authorisation) up to a maximum 150,000","Normal delivery (including pre- and post- natal care and childbirth) 100,000 Childbirth by C-section (where medically necessary and subject to pre-authorisation) up to a maximum 200,000","Normal delivery (including pre- and post- natal care and childbirth) 125,000 Childbirth by C-section (where medically necessary and subject to pre-authorisation) up to a maximum of 250,000","Normal delivery (including pre- and post- natal care and childbirth) 150,000 Childbirth by C-section (where medically necessary and subject to pre-authorisation) up to a maximum of 300,000","Normal delivery (including pre- and post- natal care and childbirth) 175,000 Childbirth by C-section (where medically necessary and subject to pre-authorisation) up to a maximum of 350,000"
Reimbursements for delivery abroad,,,"Same limits as for delivery outside of network 100,000","Same limits as for delivery outside of network 150,000","Same limits as for delivery outside of network 200,000"
"Neonatal care (incubator, phototherapy, congenital conditions, intensive care including life support, neo-natal sepsis)Subject to overall limits and pre-authorisation",200000,300000,400000,500000,500000
"Family Planning (Pills, injectable, copper IUCD, tubal ligation and Vasectomy)","Pills, Injectibles, Copper IUCD","Pills, Injectibles, Copper IUCD","Pills, Injectibles, Copper IUCD","Pills, Injectibles, Copper IUCD, Vasectomy, Tubal Ligation (only during CS)","Pills, Injectibles, Copper IUCD,  Vasectomy, Tubal Ligation (only during CS)  "
Congenital anomaly treatment (only on children born within the plan) subject to overall limits and pre-authorisation,,,"Limit of N 200,000 per annum","Limit of N 350,000 per annum","Limit of N 500,000 per annum"
"Primary care including circumcision, ear piercing, subject to pre-authorisation",Covered ,Covered ,Covered ,Covered ,Covered 
IMMUNISATIONS,,,,,
NPI Immunization (For 0-5 years),"BCG, Measles, DPT, Oral polio, Vitamin A supplementation, Pentavalent vaccine,Yellow Fever","BCG, Measles, DPT, Oral polio, Vitamin A supplementation, Pentavalent vaccine,Yellow Fever","BCG, Measles, DPT, Oral polio, Vitamin A supplementation, Pentavalent vaccine,Yellow Fever","BCG, Measles, DPT, Oral polio, Vitamin A supplementation, Pentavalent vaccine,Yellow Fever","BCG, Measles, DPT, Oral polio, Vitamin A supplementation, Pentavalent vaccine,Yellow Fever"
Additional Immunisations (For ages 0-5 years),,"Hepatitis B, HiB, Yellow Fever","Hepatitis B, HiB, Yellow Fever, Rotavirus ","Hepatitis B, HiB, Yellow Fever, Rotavirus ","Hepatitis B, Hib, Chicken Pox, MMR, Pneumococcal, Rotavirus, Meningitis,Yellow Fever, Typhoid"
Addition Immunization (above 6 - 17 years),,,"Yellow Fever, Meningitis, Hepatitis B","Yellow Fever, Meningitis, Hepatitis B","Yellow Fever, Meningitis, Hepatitis B"
BABY WELLNESS PROGRAMME,Offered  as a complimentary benefit,Offered  as a complimentary benefit,Offered  as a complimentary benefit,Offered  as a complimentary benefit,Offered  as a complimentary benefit
ADDITIONAL BENEFITS,,,,,
Mortuary,"Limit of 0.1million
per annum","Limit of 0.1million
per annum","Limit of 0.1million
per annum","Limit of 0.2million
per annum","Limit of 0.2million
per annum"
Travel Insurance on Principal,,,,,2 weeks
"On-site Health Checks , Health Talks/ Education forum or wellness fairs",Covered,Covered,Covered,Covered,Covered
Second opinion service by Experts local and abroad,Covered,Covered,Covered,Covered,Covered
Employee Assistance Programme (EAP),Not Covered,Not Covered,Not Covered,Covered,Covered
Free Uber ride to Network Hospital,Covered,Covered,Covered,Covered,Covered
,,,,,
INDIVIDUAL PREMIUM  new price (10-19),117220.471875,166951.6875,284841.375,417780.49950000003,806373.75
FAMILY PREMIUM new price (10-19),586102.359375,834758.4375,1424206.875,2088902.4975,4031868.75
INDIVIDUAL PREMIUM  new price (20-29),106081.875,151087.5,257775,378081.9,729750
FAMILY PREMIUM new price (20-29),530409.375,755437.5,1288875,1890409.5,3648750
SME RULES,,,,,
There must be a minimum of 10 Principal lives on the higher plan to buy 2 plans,,,,,
"For policies with less than 20 principal members, maternity benefits are only accessible for the members on the family plans.",,,,,
Premium quoted only valid for 30 days,,,,,
Upgrades are only allowed either during the commencement month or at renewals.,,,,,
No replacement after 6 months of the policy being in force.,,,,,
,,,,,
Major Exclusions,,,,,
Pre-existing conditions specifically listed in the medical questionnaire but not disclosed,,,,,
Donor costs associated with Transplant surgeries,,,,,
Plastic/cosmetic surgeries  and cosmetic treatment,,,,,
"Other investigations and treatment for problems relating to infertility e.g. hydrotubation, hysterosalpingogram, I.V.F, G.I.F.T and artificial insemination ",,,,,
Virility enhancing drugs,,,,,
"Herbal drugs, non-prescription drugs, food supplements",,,,,
Experimental drugs and treatment ,,,,,
Pre – School Health examinations ,,,,,
Treatment for newborns not registered on the plan after 6weeks of birth.,,,,,
Neonatal care not listed under neonatal services,,,,,
Congenital abnormalities ,,,,,
"Self-inflicted injuries – including suicide or attempted suicide, abuse of alcohol and drug addiction or abuse",,,,,
Speech disorders,,,,,
Sleep studies,,,,,
"Prosthetics, Dental and Surgical Implants ",,,,,
