Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,_source_file
,DENTISTRY,"Treatments of the teeth, all drawn from out-patient limits",,PENCOM BENEFIT.xlsx
,Primary (Basic) Dental,"N30,000","N100,000",PENCOM BENEFIT.xlsx
,Secondary (Specialised) Dental,,,PENCOM BENEFIT.xlsx
,DIAGNOSTICS,Medical investigations required to diagnosis condition of patient,,PENCOM BENEFIT.xlsx
,Pathology (laboratory services),Covered ,Covered ,PENCOM BENEFIT.xlsx
,Basic Radiology (black & white X rays & abdominal & pelvic ultrasonography),Covered ,Covered ,PENCOM BENEFIT.xlsx
,Fertility Services (consultation & investigation only),"Counseling, SFA, USS ( covered up to N35,000)","Counseling, USS, SFA, HSG, Hormonal Assay, Hysteroscopy (up to 150,000)",PENCOM BENEFIT.xlsx
,"Echochadiogram,Electrocardiogram Rest(ECG), Spirometry, Electroencephalogram",Covered ,Covered ,PENCOM BENEFIT.xlsx
,"Advanced Investigations-  MRI, CT scan ","Covered for life threatening cases (Emergency) up to N70,000",Covered ,PENCOM BENEFIT.xlsx
,PHYSIOTHERAPY,Covered and subject to pre-authorisation,,PENCOM BENEFIT.xlsx
,Physiotherapy sessions,Limit of 10 sessions per annum,Unlimited,PENCOM BENEFIT.xlsx
,"EXTERNAL MEDICAL DEVICES & APPLIANCES such as crutches, neck collars etc  Limits are per incident. Subject to overall limits and pre-authorisation",Covered ,Covered ,PENCOM BENEFIT.xlsx
,CHRONIC DISEASES TREATMENT,"Conditions that require continuous treatment for more than 3 months. For example, hypertension, diabetes, HIV, asthma and so on. Treatment and medication covered from chronic conditions limits, subject to out-patient limits where applicable. Subject to pre-authorization",,PENCOM BENEFIT.xlsx
,Management and treatment  of Chronic illnesses,"Covered up to 400,000",Covered ,PENCOM BENEFIT.xlsx
,Personal Health equipment for Chronic condition,Not Covered,Glucometer or Sphygmomanometer ,PENCOM BENEFIT.xlsx
,"COMPREHENSIVE HEALTH CHECKS (Offered as a complimentary benefit). Subject to pre-authorisation:

- Covered annually for PROMAX BLACKCARD only - PAPS SMEAR AND MAMMOGRAM (ONCE IN 2 YEARS)

- Covered once in 3 years for MAX AND PROMAX","Age 22+/All Gender: (Physical, BP, Urinalysis, PCV, Blood Sugar & Cholesterol","Full Blood Count, ESR, VDRL, Urinalysis, Urine MCS, Stool MCS, HIV, Hepatitis B &C screening, Liver Function Test, Fasting Blood Sugar, Uric acid, E/U/Cr, Lipid Profile, Chest X-Ray, Occult blood (Faeces), ECG (Rest), Pap smear (once every 2 years for women Above 30years), Mammogram OR BREAST SCAN (once every 3 years for women above 40 years), PSA (for men above 40 years)",PENCOM BENEFIT.xlsx
,EMERGENCY,,,PENCOM BENEFIT.xlsx
,Evacuation (Home/Hospital/Roadside to Hospital),Covered,Covered,PENCOM BENEFIT.xlsx
,"Stabilization, Emergency medications and investigations including CT scans and MRI",Covered,Covered,PENCOM BENEFIT.xlsx
,Intensive Care ward within network,"Covered up to N1,500,000","Covered up to N7,500,000",PENCOM BENEFIT.xlsx
,ADDITIONAL BENEFITS,,,PENCOM BENEFIT.xlsx
,Pharmacy Benefit Management,Covered,Covered,PENCOM BENEFIT.xlsx
,Discounts at Nutritional Stores,Covered,Covered,PENCOM BENEFIT.xlsx
,Mortuary fee per Family,"Covered up to 250,000","Covered up to 250,000",PENCOM BENEFIT.xlsx
,Online Zumba & Tabatha dance classes,Covered,Covered,PENCOM BENEFIT.xlsx
,Personal Accident for Principal,Not Covered,"N100,000",PENCOM BENEFIT.xlsx
,Vaccination at home (at selected cities),Covered,Covered,PENCOM BENEFIT.xlsx
,Travel Insurance on Principal,Not Covered,4 Weeks,PENCOM BENEFIT.xlsx
,HIV/AIDS Diagnosis + treatment (at free specialist centers),Covered,Covered,PENCOM BENEFIT.xlsx
,Second opinion service by Experts local and abroad,Covered,Covered,PENCOM BENEFIT.xlsx
,Employee Assistance Programme (EAP),Covered,Covered,PENCOM BENEFIT.xlsx
,INDIVIDUAL PREMIUM (ANNUAL),84048.87,244870.71,PENCOM BENEFIT.xlsx
,FAMILY PREMIUM (ANNUAL),378219.01,1101918.21,PENCOM BENEFIT.xlsx
