SERVICE DESCRIPTION,STRAWBERRY,CRANBERRY,BLUEBERRY,BLACKBERRY,RASPBERRY
Leadway Enrollee APP,Covered,Covered  ,Covered  ,Covered  ,Covered  
Premium/Individual/Year New Price,118122.46875000001,166264.3125,267567.30000000005,615273.75,1002456
"One year Moratorium on ANC, Delivery and Post natal care",,,,,
One year Moratorium on pre-existing / Chronic conditions,,,,,
GENERAL EXCLUSIONS ON THE RETAIL PLAN,,,,,
·        Cosmetic Surgery or treatment,,,,,
·        Teeth Whitening,,,,,
·        Dental Prosthesis,,,,,
·        Domiciliary/Hospice Care,,,,,
·        Alternative /Unorthodox medicine,,,,,
·        Neonatal care not listed under neonatal services,,,,,
·        Self-inflicted injuries,,,,,
·        Congenital abnormalities,,,,,
"·        Conditions caused by an act of war, an epidemic or enrollee participating in a riot",,,,,
·        Services primarily for weight reduction or treatment of obesity,,,,,
·        Treatment of substance abuse,,,,,
·        Infertility- All investigations and treatment.,,,,,
·        Orthodontics. ,,,,,
"·        Advanced radiological investigations (e.g. C.T. scan, Myelogram, EEG).",,,,,
"·        Advanced and Complex investigations (e.g. Marrow biopsy, skeletal survey).",,,,,
"·        Prosthetic devices such as cardiac pacemaker, orthopedic implants.",,,,,
·        Management of Chronic Renal Failure (Dialysis and Transplant Surgery).,,,,,
·        Induced Abortion.,,,,,
·        Laser Treatments.,,,,,
·        Transplants.,,,,,
"·        Complex major Surgeries (e.g. Heart, Brain and Great blood vessels).",,,,,
·        Neurological surgeries.,,,,,
·        Management of Cancers,,,,,
·        Professional Sports and wilful exposure to needless danger,,,,,
·        Infectious and contagious diseases in an epidemic,,,,,
"·        All procedures, management and investigations  not covered by the plans",,,,,
