Benefit sub-Categories,CUSTOMISED BH PROMAX PLAN,_source_file
Surgeries subject to pre-authorisation,Covered up to overall surgery limit,BAKER HUGHES BENEFIT.xlsx
DENTISTRY,"Treatments of the teeth, all drawn from out- patient limits",BAKER HUGHES BENEFIT.xlsx
Primary (Basic) Dental,"NGN 400,000",BAKER HUGHES BENEFIT.xlsx
Secondary (Specialised) Dental,,BAKER HUGHES BENEFIT.xlsx
DIAGNOSTICS,Medical investigations required to diagnosis condition of patient,BAKER HUGHES BENEFIT.xlsx
Pathology (laboratory services),Covered,BAKER HUGHES BENEFIT.xlsx
Basic Radiology (black & white X rays & abdominal & pelvic ultrasonography),Covered,BAKER HUGHES BENEFIT.xlsx
Fertility Services (consultation & investigation only)(Covered Fully),"Counseling, USS, SFA, HSG, Hormonal Assay, Hysteroscopy",BAKER HUGHES BENEFIT.xlsx
"Echochadiogram,Electrocardiogram Rest(ECG), Spirometry, Electroencephalogram",Covered,BAKER HUGHES BENEFIT.xlsx
"Advanced Investigations- MRI, CT scan etc",Covered,BAKER HUGHES BENEFIT.xlsx
PHYSIOTHERAPY,Covered and subject to pre-authorisation,BAKER HUGHES BENEFIT.xlsx
Physiotherapy sessions,Unlimited,BAKER HUGHES BENEFIT.xlsx
EXTERNAL MEDICAL DEVICES & APPLIANCES such as,,BAKER HUGHES BENEFIT.xlsx
"crutches, neck collars etc Limits are per Subject to pre- authorisation",Covered,BAKER HUGHES BENEFIT.xlsx
Prosthetics devices,"Up to N800,000",BAKER HUGHES BENEFIT.xlsx
,"Conditions that require continuous treatment for more than 3 months. For example, hypertension, diabetes, HIV, asthma and so on. Treatment and medication covered from chronic conditions limits, subject to out- patient limits where applicable. Subject to pre-authorization",BAKER HUGHES BENEFIT.xlsx
,,BAKER HUGHES BENEFIT.xlsx
,,BAKER HUGHES BENEFIT.xlsx
CHRONIC DISEASES TREATMENT,,BAKER HUGHES BENEFIT.xlsx
Management and treatment of Chronic illnesses,Covered,BAKER HUGHES BENEFIT.xlsx
Personal Health equipment for Chronic condition,Glucometer or Sphygmomanometer,BAKER HUGHES BENEFIT.xlsx
ROUTINE HEALTH CHECKS (Offered as a complimentary benefit). Subject to pre-authorization,"Age 22+/All Gender: (Physical, BP, Urinalysis, PCV, Blood Sugar, Chest Xray, ECG, Serum Cholesterol, Liver Function test, Electrolyte, Urea, Creatinine, Annual Mammogram for Women >40, Breast scan for Women>30,Cervical smears every 2 years for Women>30 years PSA for Men above 40yrs",BAKER HUGHES BENEFIT.xlsx
EMERGENCY,,BAKER HUGHES BENEFIT.xlsx
Evacuation (Home/Hospital/Roadside to Hospital),Covered,BAKER HUGHES BENEFIT.xlsx
"Stabilization, Emergency medications and investigations including CT scans and MRI",Covered,BAKER HUGHES BENEFIT.xlsx
,,BAKER HUGHES BENEFIT.xlsx
Intensive Care ward within network,"Cover up to NGN 7,500,000",BAKER HUGHES BENEFIT.xlsx
ADDITIONAL BENEFITS,,BAKER HUGHES BENEFIT.xlsx
Pharmacy Benefit Management,Covered,BAKER HUGHES BENEFIT.xlsx
Discounts at Nutritional Stores,Covered,BAKER HUGHES BENEFIT.xlsx
Mortuary fee per Family,"Covered up to NGN 250,000",BAKER HUGHES BENEFIT.xlsx
Online Zumba & Tabatha dance classes,Covered,BAKER HUGHES BENEFIT.xlsx
Vaccination at home (at selected cities),Covered,BAKER HUGHES BENEFIT.xlsx
Travel Insurance on Principal,4 Weeks,BAKER HUGHES BENEFIT.xlsx
HIV/AIDS Diagnosis + treatment (at free specialist centers),,BAKER HUGHES BENEFIT.xlsx
,Covered,BAKER HUGHES BENEFIT.xlsx
Second opinion service by Experts local and abroad,Covered,BAKER HUGHES BENEFIT.xlsx
,,BAKER HUGHES BENEFIT.xlsx
Employee Assistance Programme (EAP),Covered,BAKER HUGHES BENEFIT.xlsx
Free Uber ride to Network Hospital,Covered,BAKER HUGHES BENEFIT.xlsx
