LIST OF PRIMARY HEALTH CARE CENTERS (PHCCs) IN LAGOS STATE,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
4,50,AMUWO ODOFIN LGA,AMUWO ODOFIN LGA,ORIRE,FESTAC PHC," 41 ROAD, FESTAC TOWN, AMUWO-ODOFIN",COMPREHENSIVE
,51,,,EKOAKETE,MILE 2 PHC,"NEPA BUSTOP, JAKANDE ESTATE, OPP FAGBEMS FILLING STATION", 
,52,,,TOMARO/ILADO,SAGBOKOJI PHC ,"TOMARO/ILADO, RIVERINE SAGBOKOJI", 
,53,,,TOMARO/ILADO,TOMARO HEALTH POST,TOMARO VILLAGE, 
,54,,,ADO SOBA,BOLA AHMED TINUBU PHC (ADOSOBA PHC),ADOSOBA OPPOSITE OBA'S PALACE, 
,55,,,TOMARO WARD,IGBOLOGUN PHC,IGBOLOGUN TOWN (RIVERINE), 
,56,,ORIADE LCDA,AGBOJU,AGBOJU PHC," OWOYEMI CLOSE,BARUWA BUSTOP, AGBOJU",COMPREHENSIVE
,57,,,IJEGUN,IJEGUN PHC. ,"ABIJA STREET,MARUWA ROAD,IJEGUN", 
,58,,,IJEGUN,SATELLITE PHC ,"LEARNING FIELD ROAD, SATELLITE TOWN", 
,59,,,IBESHE,IBESHE PHC ,"BESIDE IBESHE POLICE STATION, IBESHE RIVERINE COMMUNITY", 
,60,,,KIRIKIRI,KIRIKIRI HP,"INFRONT OF FEMALE PRISONS, KIRIKIRI", 
,61,,,IREDE,IREDE HP.  ,IREDE RIVERINE COMMUNITY, 
5,62,APAPA  LGA,APAPA  LGA,IJORA,IJORA OLOYE PHC,47 IJORA OLOYE ST. IJORA 7UP.,COMPREHENSIVE
,63,,,APAPA,OLUWOLE PHC,89 MARINE ROAD APAPA, 
,64,,,ABRAHAM ADESANYA,NANTI PHC,NANTI VILLAGE ACROSS LIVER POOL WATER SIDE, 
,65,,APAPA IGANMU LCDA,GASKIYA,OLOJOWON PHC ,41 OLOJOWON STREET BADIA,COMPREHENSIVE
