LIST OF PRIMARY HEALTH CARE CENTERS (PHCCs) IN LAGOS STATE,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,217,,,ODO OGUN/AJEGUNLE,AJEGUNLE PHC,"OMOWEST CLOSE, OFF ZION STREET, AJEGUNLE BUS STOP MILE 12", 
,218,,,AGIDI OSOGUN,ALAPERE PHC,"1, AKINYEMIST, ALAPERE", 
,219,,,BAMGBE ELEBIJU,KETU (MASCARA) PHC,"AKINTAN ST, MASCARA,KETU. ",COMPREHENSIVE
14,220,LAGOS ISLAND LGA,LAGOS ISLAND LGA,OKE OLOWOGBOWO,OLOWOGBOWO PHC ,"ELEGBATA STREET, LAGOS ISLAND", 
,221,,,OKE OLOWOGBOWO,TAJUDEEN OLUSI/GORODOMU PHC ,"GORODOM MARKET, OLOWOGBOWO LAGOS", 
,222,,,IDUMOIBO,OBA ADEYINKA OYEKAN PHC,"ADENIJI ADELE ROUND ABOUT INSIDE BOLA TINUBU MULTI-PURPOSE CENTRE, LAGOS", 
,223,,,IDUNGANRAN IDUMAGBO,IGA IDUGANRAN PHC ," ALONG ADENIJI ADELE ROAD, LAGOS (AKA ZENITH BANK PHC)",COMPREHENSIVE
,224,,,OKO AWO AGARAWU,AGARAWU PHC,"8/10, AGARAWU ST, LAGOS ISLAND", 
,225,,,OKO AWO AGARAWU,OKO AWO YOUTH FRIENDLY CENTRE,"JANKARA MARKET, BESIDE POLICE STATION, AGARAWU", 
,226,,,OKE ARIN IDUMOTA,OKE ARIN PHC,"OLUSI STR, LAGOS ISLAND", 
,227,,,ISALE GANGAN,ONOLA PHC,"SIMI JOHNSON STREET, ISALE-GANGAN, LAGOS", 
,228,,,ALAGBA OBADINA,ITA-FAJI PHC ,"ALLI STR, ITA-FAJI, LAGOS", 
,229,,LAGOS ISLAND EAST LCDA,EPETEDO EAST,SURA PHC ,"TAPA STREET, LAGOS ISLAND",COMPREHENSIVE
,230,,,EPETEDO WEST,PHASE 3 PHC  ,"ADENIJI ADELE ROAD,LAGOS", 
,231,,,OLOSUN OJUOTO,CITY HALL/MASSEY HP ,"MASSEY STREET, LAGOS", 
,232,,,ANIKANTAMO,OLUSHI HP/ANIKANTAMO PHC,OLUSHI STREET, 
,233,,,ARAROMI,ARAROMI PHC,"BECKLEY ST, ONIKAN, LAGOS", 
15,234,LAGOS MAINLAND LGA,LAGOS MAINLAND LGA,FREEMAN-GLOVER,SIMPSON PHC ,"2, SIMPSON STR, EBUTE-METTA, LAGOS",COMPREHENSIVE
,235,,,ALOBA DESALU,ABULE NLA PHC ,"INSIDE PROGRESSIVE ESTATE, DESALU STR, APAPA RD, EBUTE METTA, LAGOS", 
,236,,,OJO ONIYUN,ONDO ST WEST  PHC,"2,ONDO STR, EBUTE METTA", 
,237,,,OTTO,OTTO PHC ,"ESUGBAYI STR, NEAR OTTO PALACE, OTTO, OYINGBO", 
,238,,,BOTANICAL GARDEN,OTUMARA PHC,ILAJE COMMUNITY, 
,239,,YABA LCDA,SALAMI BAYEWUNMI,IWAYA PHC,"25/27 OMOTOLA STR, IWAYA, YABA",COMPREHENSIVE
,240,,,HARVEY,OBA SALAMI PHC ,"14, ONAYADE STREET, IGBOBI SABE, JIBOWU, FADEYI", 
,241,,,ABULE IJESHA,ALLI DAODU PHC,"4, AKINSHOLA STREET,ABULE IJESHA, LAGOS", 
,242,,,ABULE OJA,ALHAJI KOLA OSHO PHC,"3,ELETU ODIBO ST, ABULE OJA", 
,243,,YABA LCDA,ADEKUNLE,AIYETORO PHC,"1,WRIGHT STR, ADEKUNLE, UNDER OKOBABA OVERHEAD BRIDGE BEHIND BETTER LIFE MARKET", 
16,244,MUSHIN LGA,MUSHIN LGA,PAPA AJAO,PALM AVENUE PHC,34 PALM AVENUE MUSHIN,COMPREHENSIVE
,245,,,ALAFIA / ADEOYO ,ISOLO RAOD PHC,COURT ROAD BEHIND ZONE D POLICE STATION, 
,246,,,IGBEHINADUN,AJEABO PHC,"56, OGUNAIKE ST,INSIDE AJEABO PRY SCH, AJEABO, ILASA", 
,247,,,ODUSELU OLA,ALVES PHC ,"15, ALVES STREET LAWANSON", 
,248,,,ODOERAN-OGUNLANA,ITIRE/IJESHA PHC,"14, IJESHA ROAD, IJESHA.", 
,249,,ODI-OLOWO LCDA,ALAKARA,KAJOLA PHC,"17, AYONUGA STREET FADEYI",COMPREHENSIVE
,250,,,OJUWOYE,AYANTUGA PHC,"49, AYANTUGA STREET MUSHIN", 
,251,,,MOSALASI/AGORO,ANIKULAPO PHC,"6/8 AGEGE MOTOR ROAD, EMPIRE BUS-STOP", 
,252,,,ILUPEJU,COKER PHC,"26, COKER RAOD ILUPEJU", 
17,253,OJO LGA,OJO LGA,OJO,OJO PHC ,"REST HOUSE RD, BESIDE TOWN HALL, OJO",COMPREHENSIVE
,254,,,SABO,IGBEDE PHC ,"AREA OFFICE, IGBEDE", 
,255,,,IREWE,IREWE PHC,IREWE TOWN, 
,256,,,IRA,IRA HEALTH POST,"BESIDE ARIYO PALACE, OPPOSITE POLICE STATION", 
,257,,IBA LCDA,IBA,IJAGEMO PHC,"ALONG IJAGEMO ROAD, IJAGEMO. ", 
,258,,,IBA,IBA PHC,"OBA AYOKA STREET, IBA",COMPREHENSIVE
,259,,,IBA,IJEDODO PHC,"3, BAALE STREET, TOWNHALL, IJEDODO", 
,260,,,AJANGBADI,AFROMEDIA PHC,"ALONG BADAGRY EXPRESS WAY, IBA LCDA AREA OFFICE.", 
,261,,,IGBO-ELERIN/ISHASI,ISHASI PHC,"BAKARE YUSUF STREET, ISHASI.", 
,262,,,OKOKOMAIKO,OKOKOMAIKO PHC,AMADIYAH. INSIDE OKOKO TOWN HALL., 
,263,,,KEMBERI,KEMBERI PHC,"KEMBERI TOWN HALL, MOSALASI BUSTOP.", 
,264,,OTTO AWORI LCDA,OTO AWORI,ERA PHC,"ERA TOWN, ERA", 
,265,,,IJANIKIN,IJANIKIN PHC,"ALONG BADAGRY EXPRESS WAY, ILE OBA BUS STOP, IJANIKIN.",COMPREHENSIVE
,266,,,ILOGBO ELEGBA,SHIBIRI PHC,"COUNCIL BUS STOP, OTTO AWORI LCDA AREA OFFICE, SHIBIRI.", 
,267,,,ILOGBO ELEGBA,OKE IJEUN PHC,"OKE IJEUN TOWNHALL,OKE IJEUN RD, ALAO BUS STOP, JAKANDE AREA", 
,268,,,EGAN,ISHAGIRA PHC,"ISHAGIRA ROAD, ISHAGIRA RIVERINE.", 
,269,,,ETEGBIN,IMUDE PHC,"ZONE IV, BESIDE BAALE'S HOUSE, IMUDE.", 
18,270,OSHODI ISOLO LGA,OSHODI ISOLO LGA,IGBEHIN ADUN,OSHODI PHC,"4, OGUNLANA STREET, OFF OSHODI ROAD BEHIND POST OFFICE.",COMPREHENSIVE
,271,,,EWUTUNTUN,EWUTUNTUN PHC,"7, ILESHOMI STREET, OFF BABAYANJU STREET.EWUTUNTUN", 
,272,,,SHOGUNLE,SHOGUNLE PHC,"34, MAJEKODUNMI STREET, OFF BELLO OWOSHO STREET, SHOGUNLE", 
,273,,,MAFOLUKU,AYO NI PHC,"OSHOBOWON STREET, OFF ALHAJI BELLO, BEHIND MAKINDE POLICE STATION, AFTER ST. BARNABAS CHURCH", 
,274,,,OLUYEYE,AJIBULU / MAFOLUKU PHC,"2, AJIBULU STREET, MAFOLUKU", 
,275,,ISOLO LCDA,IRE-AKARI ISHAGA,ISHAGA PHC,"UGALI STREET, CLOSE TO ISHAGA  POLICE STATION", 
,276,,,ILASA,ILASA PHC,"32, OGUNBOWALE STREET, ILASA",COMPREHENSIVE
,277,,,AKINBAYE,ISOLO PHC,"189, MUSHIN ROAD, ISOLO", 
,278,,,OKOTA,OKOTA PHC,"14, AYANWUN STREET, FREEDOM ESTATE OKOTA", 
,279,,,ALAGBEJI,LSDPC HEALTH PHC,"ROTARY CLUB BUILDING, ILE IWE META BUS STOP, ISOLO", 
,280,,,APENA,APENA PHC,"BAMGBALA STREET, ALLI  DADA B/STOP", 
,281,,,AJAO ESTATE,AJAO PHC,"44, FATAI IRAWO STREET OFF LATEEF SALAMI STREET, AJAO", 
,282,,EJIGBO LCDA,FADU,EJIGBO PHC,"38, LAFENWA STREEET, MOSHALASHI", 
,283,,,AILEGUN,IYANA EJIGBO PHC,IYANA EJIGBO B/STOP,COMPREHENSIVE
,284,,,AILEGUN,AILEGUN PHC,IYANA ISHERI BUS STOP, 
,285,,,IFOSHI,ONA IWAMIMO PHC,"ONA IWAMIMO STREET, EJIGBO", 
,286,,,OKE AFA,JAKANDE PHC,OJA BUS STOP NEAR JAKANDE  RETAIL MARKET, 
,287,,,AIGBAKA,DAUDA ILO PHC,DAUDA ILO STREET  BY MAGISTRATE COURTSS, 
19,288,SHOMOLU LGA,SHOMOLU LGA,IGBARI,AKOKA  PHC,"33,IBUNKUN-OLU STREET AKOKA  ",COMPREHENSIVE
,289,,,OKESUNA ALASE,BAJULAIYE PHC,"11, HUMANI  STREET BAJULAIYE", 
,290,,,IGBOBI FADEYI,OHEKENU PHC,"15, OHEKENU STREET FADEYI", 
,291,,,IJEBU-TEDO,WRIGHT PHC,"EMMANUEL STREET (INSIDE WRIGHT PRIMARY SCHOOL COMPOUND, PALMGROOVE)", 
,292,,,ORILE SOMOLU,AKINWUNMI AMBODE PHC,"ANIFOWOSE STREET, SOMOLU", 
,293,,BARIGA LCDA,ILAJE,ASHOGBON PHC,"32, AROBADADE STREET ILAJE BARIGA.", 
,294,,,AIYETORO MAFOWOKU,MAFOWOKU PHC,ADELEYE STREET LADY-LARK, 
,295,,,OWODE ORILE,C.M.S PHC,DEJI ALADEJOBI STREET ILAJE BUS-STOP BARIGA., 
,296,,,OWODE ORILE,LATE HON. ADEWALE AWOKOYA PHC (formerly OLOJA PHC),"AKINSOLA STREET, OFF OLOJA ST, BARIGA",COMPREHENSIVE
,297,,,APELEHIN WARD,EVA ADELAJA PHC,ADJACENT EVA ADELAJA SECONDARY SCHOOL, 
20,298,SURULERE LGA,SURULERE LGA,BABATUNDE AYILARA,AKERELE PHC,"35A, AKERELE STREET, SURULERE ",COMPREHENSIVE
,299,,,IPONRI,IPONRI PHC,INSIDE IPONRI SHOPPING COMPLEX, 
,300,,COKER/AGUDA LCDA,JINADU AIYETORO,COKER/AGUDA PHC ,"19/29, THOMAS ANIMASHAUN STR, AGUDA", 
,301,,,OSHO,ORILE IGANMU PHC ,"9,EMOKPAIRE CLOSE SCHOOL B/STOP,VIA COKER BRIDGE ORILE IGANMU.",COMPREHENSIVE
,302,,ITIRE/IKATE LCDA,SANUSI,BARUWA PHC,"17/19,BARUWA STR, IJESHA", 
,303,,,OGUNSAMI KARONWI,EJIRE PHC  ,"34, EJIRE STR, OFF OREDOLA/KARONWI STR, IJESHA",COMPREHENSIVE
,304,,,AIRWAYS,AIRWAYS PHC,"39/47, AIRWAYS ROAD, IJESHATEDO", 
,305,,,MUNIRU BARUWA,ANJORIN PHC,"10/12, ANJORIN STRET, OFF LAWANSON ROAD ITIRE", 
,306,,,ARALILE,FEMI GBAJABIAMILA PHC,"IYUN RD, BEHIND SALVATION ARMY PRY SCHOOL, SURULERE", 
