CODE,STATE,TOWN,NAME,ADDRESS,PLAN
80028031.0,FCT,KUBWA,ORIK FITNESS GYM,"SUITE A12 ,AYISAT AJOKE HOUSE BESIDE MOPOL 50 BARRACKS,ARMY ESTATE ROAD/FCDA QUARTERS KUBWA ABUJA",ALL PLANS
80028055.0,FCT,GUDU,PAVILION GYM FITNESS AND MASSAGE CENTRE,"DIFF MEDICAL CENTER, OLADIPO DIYA STREET, ABUJA, NIGERIA",ALL PLANS
80028051.0,FCT,MABUSHI,PINKINETICS FITNESS STUDIO (WOMEN ONLY),"MABUSHI 900108, ABUJA, FEDERAL CAPITAL TERRITORY",MAX & HIGHER
80028112.0,FCT,LUGBE,PRIMETIME FITNESS DISTRICT,LIGHT GOLD ESTATE (PHASE 3) UNNAMED ROAD LUGBE ABUJA,MAX & HIGHER
80028116.0,FCT,KADO,SOHO 24 SPORTS LTD,112A KADO PHASE 2 FCT ABUJA (NEXT CASH AND CARRY SUPER MARKET),PRO & HIGHER
80028001.0,FCT,GUDU,XCELL PLUS LTD GYM,"WAZIRI IBRAHIM CRESCENT OFF AHAMADU BELLO WAY, GUDU",PRO & HIGHER
80028128.0,GOMBE,GOMBE,G99 FITNESS CENTRE,ADJACENT NTA GOMBE,ALL PLANS
80028024.0,JIGAWA,DUTSE,EXCLUSIVE GYM AND FITNESS CENTRE,"NO 9A GANDUN SARKI, OPPOSITE AWAJIL FILLING STATION, DUTSE",ALL PLANS
80028087.0,JIGAWA,DUTSE,PRINCE FITNESS CENTRE,"MARKET ROAD, INSIDE MORUTA PETROL STATION, DUTSE JIGAWA STATE.",ALL PLANS
80028129.0,IMO,OWERRI,PRO LIFE GYM,"JACOB ZUMA ROAD, OWERRI, IMO STATE",MAX & HIGHER
80028183.0,IMO,OWERRI,SUREFIT  AND LIFE SUPPORT SERVICES,"MANGROOVE DELICIOUS FOODS, HOSPITAL ROAD, WORLD BANK, OWERRI",ALL PLANS
80028044.0,KADUNA,KADUNA,EPITOME GYM,"121B ETHIOPIA ST., OPPOSITE CBN QUARTERS BARNAWA, KADUNA",ALL PLANS
80028155.0,KADUNA,KADUNA,KEGYS GYM AND SPA,"11/13 JUMA'A'S STREET, SABO, BESIDE THE NEW UGWAN BORO MARKET, KACHIA ROAD, SABO, KADUNA",PRO & HIGHER
90128244.0,KANO,KANO,MARHABA GYM,"BADAWA, KANO",PRO & HIGHER
80028138.0,KANO,KANO,MARY M EXCLUSIVE GYM,"1, AUDU BAKO WAY, NASSARAWA GRA BOMPAI KANO",ALL PLANS
80028027.0,KANO,KANO,THE BIG FOUR WEIGHTS AND WARRIORS (FOR MEN ONLY),NO 3 MAGAJI RUMFA NASSARAWA G.R.A,ALL PLANS
80028114.0,KATSINA,KATSINA,HILLSIDE ROYAL SUITES,NO. 5 MUSA MUSAWA ROAD GIDAN DAWA QUARTERS ,ALL PLANS
80028042.0,KWARA,ILORIN,SWAY FITNESS CLUB,"KWARA SHOPPING MALL, PLOT NO 1, FATE ROAD ILORIN",PRO & HIGHER
80028103.0,LAGOS,SURULERE,BE FIT GYM AND SPA,"6A, ADISA BASHUA STREET, SURULERE, LAGOS.",MAX & HIGHER
80028101.0,LAGOS,IKORODU,BETSY FITNESS CENTRE,"20 WILLIAMS STR, IJEDE ROAD, IKORODU, LAGOS",PRO & HIGHER
80028123.0,LAGOS,ALIMOSHO,BICEPS CURLS GYM,"1, TRINITY AVENUE, BESIDE BA ACADEMY AFTER BRIDGE, BUCKNOR ROAD",PROMAX & HIGHER
80028131.0,LAGOS,ABULE - EGBA,BODYSCULPTOR FITNESS,"PERIDOT FILLING STATION, EKORO JUNCTION, ABULE EGBA",PRO & HIGHER
80028082.0,LAGOS,FESTAC,BODYLINE FITNESS AND GYM FESTAC,"FESTIVAL HOTEL, FESTAC",PRO & HIGHER
80028081.0,LAGOS,IKOYI,BODYLINE FITNESS AND GYM IKOYI,2A BANK ROAD,MAGNUM
80028083.0,LAGOS,LEKKI,BODYLINE FITNESS AND GYM LEKKI,"3A ADENIKE WOLE AJIBODE STREET, OFF CHIEF ALBERT IYORAH STREET, OFF BABATUNDE ANJOUS ",MAX & HIGHER
80028133.0,LAGOS,LEKKI-EPE,BODYSHAKES FITNESS,"712 ABIJO GRA, SANGOTEDO, LEKKI EPE EXPRESSWAY LAGOS",MAX & HIGHER
80028021.0,LAGOS,SURULERE,CORPORATE DANCE WORLD AND ENTERTAINMENT (DANCERAPY),"THE DANCE PLACE, WITHIN CONOIL COMPOUND ERIC MOORE ROAD",PRO & HIGHER
90128054.0,LAGOS,SURULERE,CROSS FIT GYM,"32, BODE THOMAS, SURULERE",PRO & HIGHER
80028125.0,LAGOS,MUSHIN,DEFI-NATION GYM,"5, TADE LANE OPP. COKER BUS STOP",PRO & HIGHER
80028022.0,LAGOS,IBEJU-LEKKI,DELIGHT BEAUTY FITNESS GYM,"KM 45, LEKKI-EPE EXPRESSWAY, SHAPATI, IBEJU LEKKI",ALL PLANS
80028170.0,LAGOS,IKORODU,DE ROY GYM CENTRE,"84, AGRIC- ISHAWO ROAD, NASFAT MOSQUE, IKORODU",PRO & HIGHER
80028177.0,LAGOS,LEKKI,DON J FITNESS,"17 BADORE RD, LEKKI  BESIDE DOVE",PROMAX & HIGHER
80028004.0,LAGOS,IKORODU,DREAMPARK,"BY HILL TOP ESTATE ARC, RADIO BUS STOP, AWOLOWO WAY IKORODU",MAGNUM
68028004.0,LAGOS,VICTORIA ISLAND,EKO GYM,"9, AKARIGBERE CLOSE, OFF IDEJO STREET, VICTORIA ISLAND",MAX & HIGHER
80028193.0,LAGOS,AJAH,ELITE FITNESS CLUB,"15 ADDO ROAD, AJAH",MAX & HIGHER
80028179.0,LAGOS,YABA,FAIRFORD GYM,"MARDA BARRACKS, OFFICER MESS COMPOUND CORNAL ROAD, HERBERT MARCAULEY WAY, YABA",PRO & HIGHER
80028046.0,LAGOS,LEKKI,FITGRIT GYM,"69 ADMIRALTY WAY, LEKKI PHASE 1",PROMAX & HIGHER
8000017.0,LAGOS,YABA,FITNESS PLUS LAGOS,"231, HERBERT MACAULAY WAY, YABA",PRO & HIGHER
80028119.0,LAGOS,ABULE - EGBA,FITNESS VISION,"11, JIBOWU STREET, AGEGE",MAGNUM
80028005.0,LAGOS,IKEJA,FLEX AND FITNESS GYM HOUSE,"17, AJAKAIYE STREET, MANGORO, PUNCH ESTATE, IKEJA",ALL PLANS
80028088.0,LAGOS,ISOLO,FREBSON FITNESS GYM,"40B IRE AKARI ESTATE, BESIDE FIDELITY BANK, ISOLO",MAX & HIGHER
80028102.0,LAGOS,ABULE - EGBA,FUNMADEX GYM & SPA,"473, ABEOKUTA EXP U-TURN B/S ABULE-EGBA LAGOS",PRO & HIGHER
80028047.0,LAGOS,APAPA,GALLANT FITNESS GYM,"19 CALCUTTA CRESCENT APAPA, LAGOS.",ALL PLANS
80028008.0,LAGOS,IKORODU,GET FIT WITH KELLY,"PHYSICAL 2 IGBE ROAD GINTI BY BAALES PALACE, IJEDE, LAGOS",ALL PLANS
80028100.0,LAGOS,LEKKI,GO FITNESS CENTRE,"26 KUSANLA ROAD, IKATE-ELEGUSHI, LEKKI",PROMAX & HIGHER
80028100.0,LAGOS,IPAJA,GREAT HONEY 2 FITNESS GYM,12 ADEBOWALE CLOSE,PRO & HIGHER
