state,count
Lagos,2522
Edo,8
Abia,6
Osun,6
Enugu,6
Federal Capital Territory,6
Oyo,4
Kaduna,4
Imo,3
Niger,3
Anambra,2
Rivers,2
Kogi,2
Bayelsa,1
Akwa Ibom,1
