Provider,claim_count,Amt Paid_total,Units Paid_total
Dove Hospital And Healthcare Services,93,324679.4,429.0
Aniyun ,92,145471.08,394.0
SOTERIA EYE CLINIC LIMITED,92,1590140.0,480.0
Union Diagnostics Yaba,91,426220.0,91.0
Adanta Children Hospital,89,126047.12,517.0
Krystal Medical Centre,87,372036.95,563.0
St Ives Specialist Hospital Opebi,87,1829549.41,351.0
Lifeline Children Hospital LEKKI                            ,83,490935.0,110.0
PRISTINE EYE CARE LIMITED,82,854527.5,171.0
Peter and Grace Medical Centre,82,167162.2,678.0
Solad Medical Centre,81,135650.34,555.0
Eyemasters Limited,80,913635.0,7898.0
Frontier Consultants Clinic,80,252014.15,446.0
VINCA HOSPITAL,80,260655.0,333.0
Transview Diagnostics Ltd,78,345400.0,80.0
St Lukes Hospital Asaba,78,388350.0,496.0
HILTON CLINICS,77,291189.19,517.0
Cova Care Specialist Clinic,76,590116.1799999999,561.0
SUSPENDED BLOSSOM DENTAL CLINIC AND BRACES CENTRE,76,2502636.25,385.0
CAREONE CLINICS,74,257460.25,174.0
Kowa Specialist Clinic Ughelli,72,114661.15,102.0
WINAN HOSPITAL LTD,72,172503.28,402.0
GILEAD DENTAL SPECIALIST,71,1222000.0,135.0
The Eye Surgery & Laser Centre,70,1077370.0,110.0
LOTAG EYE CLINIC,70,1317660.0,148.0
BE FIT GYM AND SPA,69,126500.0,69.0
MARYLAND HEALTH CARE,69,563340.3,347.0
Krisany Medical Services,68,234932.5,268.0
LOVEWORLD MEDICAL CENTRE LMC,67,1640942.83,27787.449999999997
South Shore Womens and Childrens Hospital,67,1471515.9,383.0
CHARLIES TOTAL FITNESS ,66,395000.0,180.0
Dental Plus Clinic VI,66,951500.0,121.0
FaithCity Hospital Limited VI,65,306605.42,358.0
Morningstar Eye Clinic And Optical Services                 ,65,907489.5,216.0
Vine Branch Maternity Hospital,65,97492.3,187.0
Lagoon Hospitals - Ikeja,65,516307.325,517.0
X Serve Clinics Lekki,61,249952.63,131.0
ST NICHOLAS MARYLAND,60,401132.0,433.0
STRATEGIC INSIGHT HEALTHCARE,60,1860446.0,510.0
Okparavero Memorial Hospital,60,196788.65,689.0
OMEGA FORTUNE DIAGNOSTICS AND CLINIC,59,430646.22,341.0
Faith Foundation Specialist Clinic                         ,58,134022.5,275.0
Dothan Eye Centre Ago,58,412560.0,69.0
Cedarcare Hospital,58,255657.21,479.0
St Raphael Divine Mercy Specialist Hospital,57,255036.0,394.5
Premier Medical Services Uyo,56,260704.73,389.0
MYRA DENTAL CLINIC NIG LIMITED,56,1075483.0,175.0
St Nicholas Hospital,55,1416655.7,443.0
UNITED HEART LIMITED,55,343944.2,249.0
Arubah Specialist Hospital,55,234665.0,274.0
LEADWAY HEALTH TELEMEDICINE SERVICE,54,27000.0,54.0
Crystal Specialist Hospital,53,162518.08,299.0
LIFE SPECIALIST HOSPITAL LTD NNEWI,53,187508.4,414.0
Queens Specialist Hospital Ltd Ikeja                         ,52,109235.31999999999,297.0
Ultimate Eye Clinic                                         ,52,850400.0,126.0
APEX HEALTH SPECIALIST HOSPITAL PORT HARCOURT,51,324691.07,338.0
DARLYN SPECIALIST HOSPITAL,51,102756.5,20340.25
De Favours Dental Clinic,51,351407.4,80869.45
HEPHZIBAH EYECARE LTD - LEKKI,49,646150.0,160.0
Beaconhill Smile - Victoria Island,48,707500.0,51.0
Rehoboth Medical Service Ltd Port Harcourt,48,4291572.0,663.0
PHARMACY BENEFIT PROGRAMME JOS,48,608203.0,82.0
SUSPENDED HOPEVILEE EYE CLINIC LIMITED ,46,514500.0,60.0
RIVON CLINIC,46,275850.0,662.0
BeaconHealth Diagnostics Lekki,45,208413.69,45.0
DALET HOSPITAL,45,101508.9,139.0
Flomat Eye Clinic                                          ,45,756115.0,179.0
SUSPEND SMILE 7 DENTAL CLINIC,43,573500.0,90.0
MACLAWSON SPECIALIST CLINIC,43,413646.0,534.0
Alliance Clinics And Services Ltd,43,105342.0,192.0
Glory Land-Inri Med Centre,40,159170.45,379.0
ZHAHIR HOSPITAL AND DIAGNOSTICS CENTRE LTD KANO,40,62543.5,67.0
Geo Medical Centre,40,120028.0,75.0
BERVLY DENTAL CLINIC,40,512000.0,84.0
Westcare Hospital Ejigbo,40,39985.4,91.0
Marigold Hospital and Critical Centre Ltd,40,138502.8,174.0
J AND R HEALTHCARE HOSPITAL,39,52720.4,351.0
EHA CLINICS LIMITED SANGOTEDO,39,220306.41999999998,219.0
Vcare Diagnostics Limited,39,110700.0,39.0
The Eye Doctors  ,38,515500.0,38.0
TOBIS CLINIC AND CONSULTANTS LIMITED BAYELSA,37,117274.5,122.0
Lonia Clinic & Maternity,37,92252.5,387.0
Skipper Eye-Q Nigeria Ltd,37,614500.0,79.0
EXCLUSIVE SMILE CLINIC,36,677000.0,45.0
EHA Clinics Limited Abuja,36,384649.65,93.0
Graceview Eye Clinic,36,486322.5,41.0
Avon Medical Practice Limited,36,83674.24,166.0
Eyeplus Ophthalmics,35,297913.0,58.0
Westcare Specialist Hospital                                ,35,123106.9,138.0
Araba Medical Center,35,43841.97,153.0
Metro Eye Clinic Adamasingba,35,227400.0,96742.0
Vincitore Dental Clinic,35,708000.0,78.0
RANEZ MEDICAL CONSULTANTS LTD,35,111926.25,321.0
BABCOCK UNIVERSITY TEACHING HOSPITAL,34,268615.0,336.0
HEILUNG KREUZ HOSPITAL,33,73827.65,166.0
PYRAMID DIAGNOSTIC SERVICES,32,432700.0,32.0
MEDIQUES PLUS BY MEADOWHALL,32,510032.5,170.0
Molly Specialist Hospital                                  ,32,167577.5,59.0
St Cecilia Eye Clinic,32,269870.0,49.0
SIGHTWAY EYE CARE AND OPTICAL SERVICES,31,354332.0,118.0
THE OPHTHALMIC SPECIALISTS COMPANY NIG LTD,31,467000.0,67.0
MARIE STOPES MEDICAL CENTRE LEKKI,31,181907.5,53.0
HEPHZIBAH EYECARE LTD - VICTORIA ISLAND,31,343000.0,31.0
Duro Soleye Hospitals                                       ,31,178301.9,334.0
Charysam Eye Clinic,31,0.0,52.0
The Eye Shop Africa International Limited,31,405000.0,129.0
Kyutis Clinic,31,138300.0,23576.0
Clearview Hospital,30,1833600.25,152.0
"SYNAPSE JAPONICA CENTER, PORT HARCOURT, NIGERIA",30,888035.93,482.0
HEPHZIBAH EYECARE LTD - ISHERI,30,316499.99,87.0
Beachland Specialist Hospital Arepo,30,532535.8,132.0
PAULINE CANADIAN HOSPITAL AND MATERNITY CENTRE,29,28385.2,60.0
Unity Medical Centre                                       ,29,24552.5,263.0
RJOLAD KUPA,29,101788.25,153.0
Opti Care Eye Clinic,29,434180.0,94.0
Family Dental Care,28,1370000.0,33.0
Center for Advanced Specialty Surgery CASS,28,302559.78,271.0
Nene Dental Clinic,28,180500.0,30.0
PANOX HOSPITAL,28,63003.75,32310.75
URIEL I CARE HOSPITAL LTD,28,133520.2,376.0
Medison Specialist Women Hospital,28,1729204.5,93.0
ONEHEALTH MEDICAL CENTER,28,154265.54,100.0
Favcov Dental Cinic,28,589560.35,176.0
2tshie Dental Clinic Ltd,28,405000.0,55.0
PRISSHAMA EYE CLINIC,27,365600.0,29.0
SOLID ROCK DENTAL CLINIC,27,316000.0,33.0
MOTHER AND CHILD HOSPITAL OMOLE,27,101496.0,113.0
LOTUS FITNESS AND HEALTH,27,60000.0,27.0
Garet Eye Clinic,27,384000.0,28.0
First Consultants Dental Ilupeju,26,520000.0,42.0
LUXE DENTAL CLINIC LIMITED,26,447500.0,39.0
PURE FITNESS AFRICA,26,72000.0,26.0
Requis Eye Centre Limited                                    ,26,459750.0,94.0
CERBA LANCET (Clina Lancet),26,381625.0,26.0
St Nicholas Hospital SNH Clinic,26,350616.0,84.0
Osuntuyi Medical Centre Iju,25,67929.95999999999,46.0
XCELL PLUS GYM,25,57000.0,6023.0
 KLARITY DENTALS HEALTH SERVICES,25,425000.0,63.0
Bridge Of Sight Consult Limited,25,280600.0,131.0
Suspended Lavinda Eye Specialist And Laser Centre ,25,1874992.0699999998,203.0
BUENA SALUTE CLINIC,25,174605.0,79.0
Rainbow Specialist Medical Center,24,280500.0,24.0
CHRIST THE KING SPECIALIST AND CHILDREN HOSPITAL ONITSHA,23,78637.5,38.0
Choice Opticals And Surgical Services Ltd - V.I.,23,326800.0,60.0
Smiley Optical Services,22,235375.0,40.0
ANSETT DIAGNOSTIC HOSPITAL LIMITED,22,54196.95,103.0
Abbys paediatric hospital,22,85320.0,46.0
LILY HOSPITAL PH formely shield specialist,21,25604.7,128.0
Vonnie Vision,21,368000.0,25.0
TRANQUIL & QUEST MEDICAL AND DIAGNOSTICS LTD,21,567831.0,22.0
Krystal Opticals Ltd                                        ,21,314000.0,74.0
True Smiles Dental,21,253000.0,5026.0
SWIFT EYECARE IKEJA CLINIC,20,330000.0,31.0
VISION CAPITAL EYE HOSPITAL MAGODO,20,269500.0,37.0
OBANI CLINIC,20,173605.0,188.0
Beracca Eye Clinic Ikeja,20,406000.0,32.0
Bronk Premiere Hospital Limited,20,76969.15,139.0
Next Generation Eyecare Ltd,20,228360.0,36.0
C GREEN EYECARE,20,272972.5,32.0
DE KINGS EYES CLINIC,20,151872.5,45.0
Oxybelle Eye Clinic,20,227750.0,71.0
