SCHEME,claim_count,Amt Paid_total,Units Paid_total
PROMAX - Baker Hughes,41157,355666377.3008,881937.63
PROMAX - Pressure Control,32463,263546965.62,994154.7
GE - VERNOVA BLACKCARD,13,26710.0,63.0
PLUS - Flour Mills ,7,28071.0,40.0
PROMAX - SHELF DRILL,5,33970.0,56.0
MAX- Guinness Nigeria,2,4850.0,4.0
