Provider,claim_count,Amt Paid_total,Units Paid_total
Aniyun ,467,925450.33,2058.0
QUEEN STELLA SPECIALIST HOSPITAL,463,1538525.43,627.0
WELLAHEALTH PHARMACY (CLAIMS PROCESSING ONLY),458,1191683.36,273.0
Solid Rock Hospital,452,2178415.25,1184.0
St Shiloh Medical Centre,451,1633466.45,3062.0
Jefis Specialist Hospital Limited,451,604287.18,1507.0
MEDPLUS PHARMACY LIMITED SAKA TINUBU,433,990641.25,634.2
iHouse optical and dental Agbara,428,3912927.15,557.0
 DE- LAKELAND IMPERIAL MEDICAL CENTRE,427,1582119.84,112951.34
Westcare Specialist Hospital                                ,423,1534913.57,1919.0
LOVING HEART HOSPITAL,421,1580345.05,1238.0
Roa Specialist Hospital,420,1522284.05,1592.0
EL DUNAMIS MEDICAL CENTRE,418,1255843.66,1180.0
Medicplus Specialist Hospital,416,1045059.0,2047.0
Ab Specialist Hospital,408,1195547.9,822.0
Molly Specialist Hospital                                  ,406,2299504.75,2177.0
Blue Cross Hospital                                         ,398,1182365.47,2173.0
AJAYI MEDICAL CENTRE,396,1207976.8,42.0
Reliance Clinic and Maternity,395,517399.28,1874.0
ROYALIFE SPECIALIST HOSPITAL AND MATERNITY CENTRE LTD ,390,1332618.2,0.0
Lifeline Children Hospital Surulere                ,386,1640689.99,520.0
Elphy Specialist Hospital,384,547665.33,938.0
SHALINA DIAGNOSTICS LAGOS,378,1947480.0,281.0
GREENLIFE HOSPITAL LIMITED AGO,376,1668862.1,791.0
Owokoniran Memorial Hospital,374,1887829.8,2210.0
Momoh Memorial Hospital,368,1027744.21,318.0
AVO ERI MEDICAL CENTRE,363,1299883.64,2732.0
HOLYFILL HOSPITAL,362,639282.55,725.0
Santa Antonio Med Centre,359,822501.9,10807.7
Delta Crown Hosp & Mat. Home,357,516944.85,293.0
TENDER TOUCH HOSPITAL,355,634451.01,18.0
Olaniba Memorial Spec. Hospital,344,304754.6,751.0
GOD CURES HOSPITAL OJO,339,1366799.98,173.0
TOPTEE MEDICAL CENTRE,339,1224812.0,312.0
COMFORT CLINIC AND MATERNITY,329,848836.08,216.0
Our Lady Specialist Hospital,327,911236.47,0.0
SPRINGMED HOSPITAL IJEBU ODE,322,1529938.03,1339.0
JOBI CLINICS,318,420707.4,114.0
Longing Medical Centre                                      ,316,867222.66,635.0
CARES AND CARES HOSPITAL LTD,312,638386.25,1915.0
Christ Foundation Hospital,311,700615.78,28525.0
LIVING SPRING HOSPITAL AND MATERNITY HOME,311,663673.85,83085.55
Cottage Medicare Hospital,308,610993.01,197.0
Gods Knot Hospital,305,643114.2,701.0
Ivory Clinic                                                ,298,266839.45,1995.0
PEACEVILLE SPECIALIST HOSPITALS LTD,298,1102069.3699999999,0.0
His Glory Hospital and Maternity ,295,1121199.3,195.0
ABUNDANT LIFE HOSPITAL LTD,294,493078.0,0.0
Deseret International Hospital                              ,292,1938128.64,1505.0
Uwemedimo Hospital,289,1066664.84,510.0
Barewa Clinics & Maternity,283,324951.2,2917.0
The Great Physician Hospital,281,349176.42,1064.0
Deji Clinic Ketu,277,458211.5,375.0
St Dominic Catholic Hospital                               ,275,875674.35,1421.0
MANEKS HOSPITAL SABO KADUNA,274,1008485.97,1141.0
BODYSHAKE FITNESS CENTER,273,754500.0,282.0
Avon Medical Practice Limited,273,1495738.61,2192.0
CAREPOINT HOSPITALS EGBEDA,272,609376.03,854.0
Cedarcare Hospital,270,1623090.1,1742.0
Awoliyi Memorial Hospital & Maternity,269,438567.5,1475.0
PRISMS HEALTHCARE LIMITED,266,1471172.75,1.0
BELLADIO MEDICAL CENTER LIMITED,264,1105718.21,1134.0
AZIR HEALTHCARE,259,789475.7,0.0
HEALING LAND HOSPITAL AND MATERNITY,254,725110.34,782.0
UNIQUE CARE HOSPITAL LAGOS,253,936172.95,96.0
MODEL SPECIALIST HOSPITAL SURULERE,246,1418505.25,291.0
PEAK HEALTH HOSPITAL,244,517087.69,0.0
Rev Fr. John Burke Memorial Hospital,241,299987.5,822.0
PEACE-HAN CLINIC & MATERNITY,235,277075.1,1339.0
LEX MEDICAL CENTRE,234,431521.11,590.0
Primrose Specialist Hospital,232,735818.57,529.0
RJOLAD KUPA,227,2150229.94,879.0
Aruna Ogun Memorial Specialist Hospital,223,667436.37,423.0
Pinecrest Specialist Hospital Lagos,218,198127.95,682.0
Mercygate Hospital,218,196214.8,1303.0
ST ANTHONY HOSPITAL AND MATERNITY IKORODU,217,831678.4,395.0
RCCG Health Centre,217,1408436.35,887.0
TORIAL HOSPITAL LIMITED,216,226816.3,186.0
May Clinic,215,627025.88,248.0
ECHO SCAN SERVICES OPEBI,214,1604323.275,143.0
Union Diagnostics Yaba,212,1395720.0,200.0
PEACEFUL HEALTH HOSPITAL AND MATERNITY HOME,211,532015.0,1197.0
Afriglobal Medicare Limited,209,1938435.0,174.0
Vine Branch Maternity Hospital,207,1623427.29,595.0
EVERLIFE HOSPITAL,204,821772.54,248.0
Isalu Hospital Limited,203,1847871.08,4048.0
Betta Hospital,200,461055.9,273.0
Standard Optical Ltd,200,508905.0,168.0
Toun Memorial Specialist                                    ,199,624574.84,1052.0
LONGE MEDICAL CENTRE,199,155334.25,0.0
Adebayo Living Tower Hospital,198,413897.55,969.0
CITYVIEW HOSPITAL,196,596472.86,891.0
DE OVERCOMING GRACE HOSPITAL,191,1135609.98,543.0
BENIN MEDICAL CARE LIMITED,189,364774.11,756.0
EBUNOLUWA  HOSPITAL,188,770670.4,0.0
Geo Medical Centre,186,534558.5,486.0
Liberty Hospital,185,132177.0,1151.0
WELL EAGLE HEALTH SERVICES LTD,183,445534.55,149.0
Smiley Optical Services,183,998625.0,15.0
GODS FAVOURITE HOSPITAL,182,300510.95,1059.0
AGO MEDICAL CENTRE,181,536584.79,414.0
STEVANS MEDICAL CENTRE,178,1838908.35,318.0
Alafiat Hospital,176,455756.65,0.0
Pamo Hospital,176,351626.36,23905.46
Malens Medcare Ltd,176,1402000.0,115.0
Dialyzer Medical Centre,175,829788.87,444.0
ONWARD SPECIALIST HOSPITAL,174,620867.3099999999,354.0
Rhowil Total care Hospital,174,484870.17,1207.0
The Brookhaven Hosptial,171,1882515.76,1065.0
Ultima Medicare Hospital,171,670600.0,479.0
LEADWAY HEALTH TELEMEDICINE SERVICE,170,85000.0,109.0
LIFE SHIELD SPECIALIST CLINIC,170,544936.89,762.0
LUCAS HOSPITAL AND MATERNITY LTD,169,403082.82,972.0
First class special clinic and maternity,168,97366.55,814.0
MOTHER AND CHILD HOSPITAL IKEJA,168,1265022.49,765.0
GREENLIFE HOSPITAL LIMITED ILUPEJU,168,700984.0,907.0
