Provider,claim_count,Amt Paid_total,Units Paid_total
LIFENEST HOSPITAL LIMITED,60,375693.0,443
IROWA MEDICAL CENTRE,60,1524372.65,272
Rainbow Dental Clinic,59,882000.0,63
GILEAD DENTAL SPECIALIST,59,501000.0,92
EMABAL HOSPITAL,58,3732152.5,165
St Ives Specialist Hospital Egbeda,58,406047.6,235
FAITHSHIELD HOSPITAL,58,216292.08,428
Mark of Glory Specialist Hospital,58,861757.0,238
Royal Specialist Hospital - Benue,56,287252.6,229
ENNY EYE CARE IKEJA,56,179000.0,56
Avon Medical Practice Limited,56,195546.24,435
GEO MARIE HOSPITAL,55,203605.5,473
BEACONHILL SMILE CLINIC- IKEJA,55,1025500.0,59
Reimbursement,54,1473240.0,207
Krystal Medical Centre,54,474993.68,173
Family Care Multiclinics Ltd Abuja                        ,53,216697.5,295
Beracca Eye Clinic Ikeja,53,742000.0,65
Crestview Radiology VI (Referrals Only)                                     ,52,880358.0,52
Abbys paediatric hospital,52,235000.0,225
WESTEND HOSPITAL WARRI                                      ,51,198480.8,274
ZENITH CARE HOSPITAL IBADAN,51,76047.43,144
R Jolad Plus,51,601854.01,132
LAGOON HOSPITAL - IKOYI REFERRALS ONLY,50,388043.085,197
BIO-FLOURISHING HOSPITAL & MEDICAL SERVICES,50,153579.0,271
Enwongo Abasi Medical Centre,49,131480.76,373
Locus Eye Clinic,48,529475.0,49
MILESTONE FAMILY HOSPITAL,48,345358.0,122
EDJ Healthcare Diagnostics,48,411000.0,48
Paelon Memorial Clinic Victoria Island                                     ,46,431815.0,109
Cutting Edge Hospital,46,136516.35,242
Ultimate Eye Clinic                                         ,44,462000.0,49
St Raphael Divine Mercy Specialist Hospital,43,254970.0,191
Eromosele Medical Centre,43,69069.75,180
De New Aiyetoro Hospital,43,53100.3,233
Lad Medical Centre                                         ,43,91186.75,126
Lagoon Clinics - Victoria Island,42,551599.45,77
LIFESHADE HOSPITAL,42,144627.0,226
New Boshang Clinic & Maternity Ltd,42,116055.70999999999,88
AB 10 MEDICARE HOSPITAL LIMITED,41,61571.1,202
Gateway Hospital Jalingo,41,117543.65,205
Delta Crown Hosp & Mat. Home,41,53145.5,636
EMENIKE HOSPITAL,40,227944.80000000002,191
Kingsword Hospital,40,45393.1,214
Image Diagnostics PHC,40,395700.0,40
First Rivers Hospitals                                     ,40,183985.0,203
LIFE BLOSSOM CARE AND CURE HOSPITAL   ,40,102883.14,140
Ab Specialist Hospital,39,51864.5,202
St Athanasius Hospital Ltd,39,234212.5,83
Deseret International Hospital                              ,38,242934.05,566
LOVEWORLD MEDICAL CENTRE LMC,38,329246.0,86
Royan Hospital,38,77133.0,135
Outreach Women & Children Hospital FESTAC,37,253431.5,103
Open Door Hospital,37,142483.85,205
Deo-New Day Integrated Medical Services Akure,37,257922.48,321
Softshell Specialist Hospital,37,76958.6,414
ONWARD SPECIALIST HOSPITAL,36,52574.61,110
CRADLE AND MUM SPECIALIST HOSPITAL,36,587628.3,99
Lota Medical Centre                                         ,35,136999.0,105
INTON HOSPITAL,35,91100.0,52
LEADWAY HEALTH TELEMEDICINE SERVICE,35,17500.0,35
Krown Hospital,35,423550.0,218
HEPHZIBAH EYECARE LTD - OKO OBA,35,358400.0,35
BT HEALTH AND DIAGNOSTICS CENTER,35,283815.0,35
PARAGON CLINICS AND IMAGING NIG LTD,35,140527.8,382
HANOVILLE SPECIALIST HOSPITAL,35,80871.75,140
PENTACARE HOSPITAL LIMITED,34,922359.0,127
LIFE SHIELD SPECIALIST CLINIC,34,144215.0,776
ST MARYS HOSPITAL AND MATERNITY ENUGU,34,1025959.02,129
